INSTNM,SAT_AVG,UGDS,COSTT4_A,TUITIONFEE_OUT,TUITFTE,AVGFACSAL,PFTFAC,C150_4,PFTFTUG1_EF
California Institute of Technology,1534,977,56382,41538,15679,16120,0.957,0.9307,0.9725
University of Chicago,1504,5697,62425,47514,26409,16589,0.8076,0.9268,0.9834
Massachusetts Institute of Technology,1503,4510,57010,43498,28012,15617,0.9862,0.9307,0.9721
Harvard University,1501,7278,57950,42292,27867,17861,0.8595,0.9747,0.4143
Yale University,1497,5422,59320,44000,14701,16042,0.7281,0.9779,0.9777
Princeton University,1495,5234,55430,40170,13049,15711,0.8485,0.9694,1
Vanderbilt University,1475,6794,59890,42978,22796,12871,0.8362,0.9252,0.8714
Washington University in St Louis,1474,6851,62594,44841,23619,13286,0.6523,0.9404,0.8234
Columbia University in the City of New York,1471,7970,61540,49138,31924,15706,0.5324,0.9329,0.7096
Stanford University,1466,6980,58408,43683,23849,19862,0.9786,0.9576,0.8404
Northwestern University,1458,8855,60729,45527,28590,14525,0.845,0.9419,0.8975
Rice University,1454,3920,52242,38941,18601,13468,0.7813,0.9111,0.9139
University of Notre Dame,1450,8466,57805,44605,21742,12629,0.8839,0.9486,0.9422
Dartmouth College,1446,4154,61398,46752,28107,13143,0.8068,0.947,0.9135
Duke University,1444,6501,59528,45376,23668,14288,0.94,0.9423,0.9183
University of Pennsylvania,1442,10606,59600,45890,36792,15460,0.7278,0.9569,0.7321
Williams College,1439,2051,59412,46600,26201,12027,0.807,0.9536,0.9267
Carnegie Mellon University,1432,5834,59710,47642,27890,11055,0.9324,0.8799,0.9394
Tufts University,1428,5146,58752,46598,28845,11427,0.6361,0.9219,0.9383
Brown University,1425,6182,58140,45612,29320,13381,0.8849,0.9452,0.8543
Cornell University,1422,14309,59572,45358,24114,13820,0.9022,0.9334,0.8431
Weill Cornell Medical College,1422,NA,NA,NA,20977,NA,1,NA,NA
Johns Hopkins University,1418,5932,58980,45470,22665,10922,0.8637,0.9254,0.7761
Georgetown University,1398,7261,59900,44805,35085,12851,0.5314,0.9245,0.7692
