ID,2010 ST,2011 ST,Treated,2012 ST
1,13,11,1,15
2,16,21,0,20
3,11,13,0,21
4,14,17,0,14
5,8,7,1,22
6,15,12,0,16
7,15,16,0,17
8,17,15,0,12
9,10,8,1,8
10,8,6,1,7
11,13,12,0,10
12,11,14,0,9
13,24,18,0,23
14,15,13,0,12
15,15,17,0,21
16,14,16,0,18
17,20,17,0,13
18,21,14,0,8
19,17,20,0,13
20,24,17,0,14
21,17,14,0,16
22,17,14,0,17
23,8,11,1,7
24,19,15,0,11
25,17,22,0,14
26,15,16,0,11
27,10,10,1,15
28,14,12,0,18
29,17,16,0,23
30,17,16,0,15
31,12,10,1,15
32,21,24,0,22
33,23,22,0,20
34,21,19,0,20
35,17,20,0,24
36,25,23,0,25
37,15,19,0,16
38,12,14,0,15
39,20,18,0,16
40,7,12,0,5
41,13,10,1,12
42,9,15,0,21
43,10,10,1,13
44,17,15,0,9
45,10,16,0,12
46,20,18,0,19
47,20,18,0,21
48,18,21,0,20
49,12,12,0,5
50,21,17,0,15
51,12,12,0,12
52,13,12,0,13
53,11,11,1,17
54,19,19,0,17
55,14,16,0,19
56,5,3,1,15
57,12,12,0,13
58,19,15,0,19
59,19,13,0,12
60,9,15,0,14
61,13,15,0,16
62,18,20,0,12
63,15,15,0,15
64,8,11,1,19
65,11,6,1,12
66,13,15,0,19
67,17,17,0,11
68,13,14,0,24
69,19,16,0,20
70,17,14,0,13
71,13,6,1,9
72,16,18,0,16
73,23,24,0,25
74,15,21,0,15
75,17,25,0,25
76,12,14,0,7
77,10,11,1,15
78,15,13,0,18
79,14,19,0,16
80,1,11,1,5
81,18,21,0,14
82,19,13,0,14
83,21,21,0,19
84,23,16,0,20
85,10,17,0,6
86,21,14,0,11
87,11,12,0,9
88,17,18,0,20
89,14,22,0,19
90,21,20,0,21
91,14,19,0,16
92,14,22,0,17
93,18,22,0,22
94,25,17,0,20
95,16,15,0,22
96,16,16,0,13
97,17,20,0,20
98,12,12,0,13
99,14,13,0,18
100,15,18,0,19
