GEOID,long,lat,Tract,Boroughs,Total population,Percent Male,Over_16_year,Over_18_year,Over_60_year,Median_Household_Income,Percentage_college_degree,Unemployment_rate,Race_White,Race_Black,Race_NativeAmerican,Race_Asian,Race_Other,Schools,Recreational,Criminal_Justice,Health,Pharmacy,Mental_Heath,Disabilities,Daycare,Senior_homes,Homeless_shelters,Transport,Waste_Management,BURGLARY,FELONY_ASSAULT,GRAND_LARCENY,GRAND_LARCENY_ MOTOR_VEHICLE,MURDER,RAPE,ROBBERY,Total_Felony,FelonyBucket
36005000100,NA,NA,1,Bronx,8430,90.79478055,100,95.8,2.3,NA,5,NA,14%,58%,0%,2%,26%,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
36005000200,-73.85874688,40.80954265,2,Bronx,5095,49.06771344,80.2,77.5,20.3,74837,29.9,7.7,32%,28%,0%,6%,34%,0,0,1,0,0,0,0,0,0,1,0,2,5,5,9,4,0,0,5,28,4
36005000400,-73.85315837,40.80992424,4,Bronx,5572,49.98205312,78.6,76.2,15,77991,50.4,6.1,30%,36%,0%,1%,33%,0,0,0,0,0,0,0,0,0,0,0,0,10,13,13,4,0,0,8,48,6
36005001600,-73.85810466,40.81863617,16,Bronx,5412,43.14486327,79.7,77.2,24.1,32354,40.6,9.2,34%,33%,0%,0%,32%,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,6,0,0,12,34,5
36005001900,-73.91818165,40.80388784,19,Bronx,2569,51.18723239,77.2,76.3,6.8,34635,19.1,19.4,32%,32%,0%,2%,35%,0,0,0,0,0,0,0,0,0,0,0,0,14,11,28,4,0,0,14,71,7
36005002000,-73.86582387,40.81804139,20,Bronx,8959,39.78122558,76.5,72.3,17.7,23423,27.9,12.6,21%,45%,2%,3%,29%,1,0,0,0,0,0,4,0,0,0,0,1,22,29,8,11,0,0,12,82,7
36005002300,-73.92649185,40.80917115,23,Bronx,4860,39.97942387,74.1,70,16.8,14304,35.3,18.1,16%,49%,1%,0%,34%,2,0,0,0,0,0,0,0,1,0,0,0,3,13,10,3,1,0,13,43,6
36005002400,NA,NA,24,Bronx,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1
36005002500,-73.92126408,40.80705838,25,Bronx,5143,44.66264826,68.2,65.7,13,15683,31,9,27%,20%,0%,6%,47%,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,4,0,0,5,33,5
36005002701,-73.91607275,40.80481775,27.01,Bronx,3172,46.75283733,70.7,65.6,10,20159,35.9,17.5,22%,42%,0%,0%,36%,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,3,0,0,2,21,4
36005002702,-73.91338357,40.80650981,27.02,Bronx,4683,49.37006193,76,70,9.6,18416,22.7,12.4,22%,33%,0%,0%,45%,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,1,0,0,8,33,5
36005002800,-73.87835528,40.82237138,28,Bronx,5746,41.76818656,82.1,81.2,23.6,50388,31.1,11.4,3%,77%,0%,1%,19%,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16,9,0,0,8,49,6
36005003100,-73.90598144,40.80980156,31,Bronx,1538,47.59427828,71.2,66.6,9.4,39962,72.4,7.4,28%,34%,0%,3%,34%,1,0,0,1,0,0,1,2,0,0,0,0,5,1,7,1,0,0,1,15,2
36005003300,-73.91204191,40.80827555,33,Bronx,3852,47.35202492,69.9,65.8,11.6,19784,43.2,18.4,27%,40%,0%,0%,33%,1,0,0,3,1,3,0,2,0,0,0,0,3,18,17,0,0,0,7,45,6
36005003500,-73.90905579,40.81120426,35,Bronx,3753,48.73434586,74.9,71.3,9.9,22267,39.6,12.9,10%,31%,0%,0%,59%,2,1,0,1,0,0,0,2,0,1,0,0,3,8,12,2,0,0,12,37,5
36005003700,-73.91245705,40.81140055,37,Bronx,199,51.75879397,81.4,81.4,20.1,9327,0,14.3,25%,21%,0%,0%,54%,0,0,3,1,0,3,8,5,0,0,2,0,1,1,2,1,0,0,6,11,2
36005003800,-73.86368467,40.82026083,38,Bronx,1303,47.12202609,72.8,72.4,12.4,46534,11.5,10.5,21%,47%,0%,1%,31%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,5,1
36005003900,-73.92225167,40.80987994,39,Bronx,6580,52.11246201,71.3,69.7,11.6,27608,33.7,11.6,26%,22%,1%,1%,50%,5,0,1,3,2,0,4,0,0,3,0,0,17,27,29,2,0,18,34,127,7
36005004001,-73.857932,40.82790222,40.01,Bronx,1550,46.19354839,79.7,77.5,21.7,47841,64.1,12.1,24%,21%,0%,24%,30%,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,2,0,0,8,24,4
36005004100,-73.91995457,40.81158036,41,Bronx,6483,49.37528922,72.1,68,10.7,18516,21.7,17.6,27%,32%,1%,0%,40%,1,0,1,1,0,5,0,1,1,0,0,0,7,22,22,1,1,0,25,78,7
36005004200,-73.8614549,40.82446222,42,Bronx,7599,45.32175286,82.5,79.7,17.7,22135,42.4,24.9,21%,56%,1%,1%,21%,0,0,0,0,0,0,0,0,0,0,0,0,7,25,27,16,1,0,22,98,7
36005004300,-73.9175986,40.8139562,43,Bronx,5841,51.82331793,68.6,66.7,7.8,21827,45.9,10.8,14%,30%,2%,0%,55%,4,0,2,0,0,0,0,3,0,1,0,0,9,29,16,7,0,0,19,80,7
