id,Tract,Boroughs,Over_18_year,Over_60_year,Median_Household_Income,Percentage_college_degree,Unemployment_rate,Race_White,Race_Black,Race_NativeAmerican,Race_Asian,Race_Other,Schools,Recreational,Criminal_Justice,Health,Pharmacy,Mental_Heath,Disabilities,Daycare,Senior_homes,Homeless_shelters,Transport,Waste_Management,Crime_Rate
36005000100,1,Bronx,0.93,0.02,NA,0.05,NA,0.14,0.58,0.00,0.02,0.26,1.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
36005000200,2,Bronx,0.64,0.20,74837.00,0.30,0.08,0.32,0.28,0.00,0.07,0.34,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.01
36005000400,4,Bronx,0.62,0.15,77991.00,0.50,0.06,0.30,0.36,0.00,0.01,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005001600,16,Bronx,0.63,0.24,32354.00,0.41,0.09,0.34,0.33,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005001900,19,Bronx,0.62,0.07,34635.00,0.19,0.19,0.32,0.32,0.00,0.02,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
36005002000,20,Bronx,0.56,0.18,23423.00,0.28,0.13,0.21,0.45,0.04,0.03,0.29,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.01
36005002300,23,Bronx,0.52,0.17,14304.00,0.35,0.18,0.16,0.49,0.02,0.00,0.34,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.01
36005002400,24,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA
36005002500,25,Bronx,0.45,0.13,15683.00,0.31,0.09,0.27,0.20,0.00,0.07,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005002701,27.01,Bronx,0.45,0.10,20159.00,0.36,0.18,0.22,0.42,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005002702,27.02,Bronx,0.52,0.10,18416.00,0.23,0.12,0.22,0.33,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005002800,28,Bronx,0.70,0.24,50388.00,0.31,0.11,0.03,0.77,0.00,0.01,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005003100,31,Bronx,0.46,0.09,39962.00,0.72,0.07,0.28,0.34,0.00,0.03,0.34,1.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.01
36005003300,33,Bronx,0.45,0.12,19784.00,0.43,0.18,0.27,0.40,0.00,0.00,0.33,1.00,0.00,0.00,3.00,1.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.01
36005003500,35,Bronx,0.54,0.10,22267.00,0.40,0.13,0.10,0.31,0.00,0.00,0.59,2.00,1.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.01
36005003700,37,Bronx,0.70,0.20,9327.00,0.00,0.14,0.25,0.21,0.00,0.00,0.54,0.00,0.00,3.00,1.00,0.00,3.00,8.00,5.00,0.00,0.00,2.00,0.00,0.06
36005003800,38,Bronx,0.56,0.12,46534.00,0.12,0.11,0.21,0.47,0.00,0.01,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36005003900,39,Bronx,0.51,0.12,27608.00,0.34,0.12,0.26,0.22,0.02,0.01,0.50,5.00,0.00,1.00,3.00,2.00,0.00,4.00,0.00,0.00,3.00,0.00,0.00,0.02
36005004001,40.01,Bronx,0.64,0.22,47841.00,0.64,0.12,0.24,0.21,0.00,0.26,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005004100,41,Bronx,0.49,0.11,18516.00,0.22,0.18,0.27,0.32,0.02,0.00,0.40,1.00,0.00,1.00,1.00,0.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,0.01
36005004200,42,Bronx,0.67,0.18,22135.00,0.42,0.25,0.21,0.56,0.02,0.01,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005004300,43,Bronx,0.47,0.08,21827.00,0.46,0.11,0.14,0.30,0.04,0.00,0.55,4.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.01
36005004400,44,Bronx,0.58,0.21,23102.00,0.33,0.26,0.12,0.40,0.00,0.05,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005004600,46,Bronx,0.63,0.27,44297.00,0.49,0.12,0.26,0.39,0.02,0.00,0.35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
36005004800,48,Bronx,0.57,0.16,24437.00,0.19,0.10,0.14,0.22,0.00,0.04,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005005001,50.01,Bronx,0.52,0.13,31250.00,0.29,0.16,0.10,0.46,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005005002,50.02,Bronx,0.59,0.10,29338.00,0.30,0.12,0.18,0.20,0.04,0.03,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005005100,51,Bronx,0.53,0.13,20233.00,0.28,0.22,0.13,0.38,0.04,0.00,0.47,0.00,0.00,2.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.02
36005005200,52,Bronx,0.60,0.23,16810.00,0.40,0.20,0.17,0.27,0.00,0.02,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005005300,53,Bronx,0.50,0.09,16173.00,0.55,0.31,0.05,0.55,0.04,0.00,0.38,2.00,1.00,2.00,3.00,2.00,0.00,1.00,7.00,0.00,1.00,14.00,3.00,0.01
36005005400,54,Bronx,0.61,0.11,32254.00,0.42,0.08,0.16,0.27,0.00,0.02,0.55,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.02
36005005600,56,Bronx,0.60,0.26,17708.00,0.45,0.16,0.16,0.26,0.00,0.02,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005005902,59.02,Bronx,0.67,0.20,38244.00,0.22,0.16,0.16,0.32,0.04,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36005006000,60,Bronx,0.60,0.12,43125.00,0.44,0.06,0.12,0.19,0.00,0.01,0.68,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.01
